;date;1. open;2. high;3. low;4. close;5. volume
294;2014-08-29;191.39;194.133;190.66;192.3;11487700.0
295;2014-08-22;188.1;192.07;187.76;190.41;11074800.0
296;2014-08-15;187.81;188.88;186.28;187.38;10927100.0
297;2014-08-08;189.35;189.95;183.58;186.63;14770900.0
298;2014-08-01;194.3;196.4;188.86;189.15;19838900.0
299;2014-07-25;191.3;195.9;189.25;194.4;19580700.0
300;2014-07-18;188.55;195.95;188.21;192.5;34217100.0
301;2014-07-11;187.61;188.9;186.21;188.0;14983700.0
302;2014-07-03;181.33;188.99;180.26;188.53;18382300.0
303;2014-06-27;181.92;183.0;179.27;181.71;17703900.0
304;2014-06-20;182.4;184.47;181.235;181.55;24186800.0
305;2014-06-13;186.22;187.64;180.91;182.56;18143900.0
306;2014-06-06;184.76;187.65;183.92;186.37;14243300.0
307;2014-05-30;184.8;185.65;182.33;184.36;15895800.0
308;2014-05-23;186.61;187.16;184.7;185.94;14066100.0
309;2014-05-16;191.12;193.03;185.93;187.06;19407200.0
310;2014-05-09;191.05;191.49;186.93;190.08;13925300.0
311;2014-05-02;191.14;196.86;190.58;191.44;21195300.0
312;2014-04-25;189.8;193.0;189.11;189.63;22312800.0
313;2014-04-17;196.24;198.71;187.01;190.01;30565200.0
314;2014-04-11;191.72;199.21;191.57;195.19;30598500.0
315;2014-04-04;191.64;195.13;191.28;191.77;29036500.0
316;2014-03-28;187.43;195.63;187.37;190.45;35465000.0
317;2014-03-21;182.66;188.7;182.66;186.67;30821100.0
318;2014-03-14;187.55;188.45;182.21;182.21;24057200.0
319;2014-03-07;183.33;188.92;182.82;187.68;20103400.0
320;2014-02-28;182.82;186.12;182.82;185.17;20734000.0
321;2014-02-21;183.18;185.71;182.32;182.79;19774200.0
322;2014-02-14;176.97;184.43;176.25;183.69;21312600.0
323;2014-02-07;176.02;177.56;172.19;177.25;25234000.0
324;2014-01-31;179.605;179.65;175.34;176.68;25559900.0
325;2014-01-24;190.23;190.39;179.64;179.64;38736900.0
326;2014-01-17;186.26;190.81;183.86;190.09;27635300.0
327;2014-01-10;187.15;190.35;185.3;187.26;22947500.0
328;2014-01-03;185.32;187.79;184.67;186.64;15248000.0
329;2013-12-27;181.05;186.5;180.61;185.08;12400800.0
330;2013-12-20;173.22;182.0;172.73;180.02;32267100.0
331;2013-12-13;177.99;178.152;172.73;172.8;21870800.0
332;2013-12-06;179.46;179.59;175.16;177.67;24816100.0
333;2013-11-29;180.25;180.76;177.31;179.68;20384900.0
334;2013-11-22;183.52;186.24;179.92;181.3;25637400.0
335;2013-11-15;180.19;184.0487;179.66;183.19;25682800.0
336;2013-11-08;179.9;181.39;177.35;179.99;25635300.0
337;2013-11-01;177.04;182.32;176.2;179.23;25853600.0
338;2013-10-25;174.42;179.1;172.6301;176.85;29861500.0
339;2013-10-18;185.41;186.99;172.57;173.78;45663100.0
340;2013-10-11;181.85;186.23;178.71;186.16;20859700.0
341;2013-10-04;185.56;186.74;183.0;184.1;16351900.0
342;2013-09-27;190.06;192.41;186.45;186.92;15079700.0
343;2013-09-20;193.7;194.89;190.02;190.02;22379100.0
